label,eeg_col,win_size,n_cases,n_events,NCCI_mean,WC_mean,pearson_mean,delta_ncci_mean,delta_ncci_std,pct_decrease,pval,t_stat,effect_d
Primary (ADR),ADR,60.0,199,7899,0.49226512058333716,0.6428538064357096,0.007922910319626544,-0.006193216203552137,0.2253688685572239,50.86719837954171,0.014619912542843767,2.442198058867387,-0.02748035361073647
7.1a: SEF95,SEF95,60.0,199,7898,0.4359523282049316,0.6335249415833677,0.027834858036858708,0.01469388611788729,0.2288247939502469,48.93643960496328,1.1953909400282388e-08,-5.706432160719418,0.06421457158467149
7.1b: Alpha power (rel),alpha_rel,60.0,199,7899,0.49520710706765303,0.6452540717158021,0.0009590290382234598,0.0015721437821513704,0.22554516608286582,49.61387517407267,0.5356274433319584,-0.6194657557276408,0.006970416652054158
7.1c: Spectral entropy,spectral_entropy,60.0,199,7899,0.4594840051855879,0.6380516080585504,0.022959182984791437,0.01071209715303038,0.21534671369227212,49.398658057982026,9.967945232930657e-06,-4.420738430007354,0.049743490227408295
7.2a: Short win (2 min),,,0,0,,,,,,,,,
7.2b: Long win (30 min),ADR,180.0,199,6243,0.5142044932272919,0.6187963390255846,0.016013111182425672,-0.01810354039271623,0.2724480661706455,53.820278712157624,1.573062497785652e-07,5.249786815917011,-0.06644767437891251
7.3: BIS value,BIS_value,60.0,199,7749,0.44480089624046537,0.6392436497002659,0.06462039217986483,-0.0025526406855884798,0.21357480180980326,51.24532197702929,0.29281153068035165,1.0520453981425317,-0.011951974965035944
