label,n_validation_cases_with_events,n_events,events_per_patient_median,events_per_patient_q1,events_per_patient_q3,mean_pre_GCS,mean_post_GCS,mean_delta_GCS,sd_delta_GCS,cohens_d,t_p,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,pct_patient_negative,first_event_mean_delta,first_event_t_p,gee_beta,gee_ci_low,gee_ci_high,gee_p,short_label,order
"MAP>20, BIS<60, refractory=20min",1006,4114,4.0,2.0,5.0,-0.12852264783735173,-0.1206232503884296,0.007899397448922147,1.006617674198741,0.007847465479095626,0.8034874357409388,-0.05391767907483143,0.06789956393949233,0.27456618213106376,53.28031809145129,0.028393220294915738,0.5763736713408938,-0.03353464252232507,-0.0819241778173243,0.014854892772674176,0.17437384731681216,"Primary: MAP>20, BIS<60, 20 min",0
"MAP>25, BIS<60, refractory=20min",989,3580,3.0,2.0,5.0,-0.15137508247241735,-0.14243485970675782,0.008940222765659528,1.0680792142229474,0.008370374263077247,0.7924246263188603,-0.057466193729457174,0.07435574464465156,0.6303135188132827,50.353892821031344,0.01831022828881525,0.7249758965725657,-0.02705533910653295,-0.08054654607351966,0.026435867860453755,0.3215239938160702,"MAP>25, BIS<60, 20 min",1
"MAP>30, BIS<60, refractory=20min",973,3210,3.0,2.0,4.0,-0.15763613940225096,-0.1532320582948589,0.0044040811073920395,1.117768583583085,0.003940065208555469,0.9022099114897738,-0.06353706007791197,0.07242679932842286,0.6774179120251947,50.56526207605344,-0.012132415541180802,0.8210448429674301,-0.030129076363640584,-0.08571477376201948,0.02545662103473832,0.28807324006826596,"MAP>30, BIS<60, 20 min",2
"MAP>20, BIS<55, refractory=20min",1004,4032,3.0,2.0,5.0,-0.13513032921940282,-0.1324084118205036,0.002721917398899203,1.0112142965098603,0.0026917315234700717,0.9320477873040598,-0.05979570304968747,0.06644664613571907,0.19904560231034085,53.286852589641434,0.006888020045962498,0.8920422949714313,-0.03635526667090375,-0.0850243770058313,0.0123138436640238,0.1431746606492817,"MAP>20, BIS<55, 20 min",3
"MAP>20, BIS<60, refractory=10min",1009,5121,4.0,3.0,7.0,-0.12868701059089027,-0.09889458488946999,0.029792425701420315,0.9004847103677017,0.033084876798468846,0.29354115894188004,-0.02505503703624137,0.08530463911504876,0.5852863738826848,52.22993062438057,0.014881004681912597,0.7714449770017222,-0.026379884095640835,-0.06726970716168802,0.014509938970406352,0.20606429292495487,"MAP>20, BIS<60, 10 min",4
"MAP>20, BIS<60, refractory=30min",993,3422,3.0,2.0,4.0,-0.14202142579668273,-0.1412375805857855,0.0007838452108972277,1.0487429892846523,0.0007474140174533024,0.9812143475016456,-0.06441386370923738,0.06579979199603847,0.37841399143409415,51.66163141993958,0.03461180780472937,0.501323184012852,-0.025252236290039587,-0.07672590679904348,0.026221434218964314,0.33628579513008205,"MAP>20, BIS<60, 30 min",5
